"cn","To.ProvBCR","From.ProvBCR","RngAdj","To.BCR","To.Prov","From.BCR","From.Prov"
"American Three-toed Woodpecker","79-8","45-8",1,8,"SK",8,"MB"
"Yellow-rumped Warbler","79-8","45-8",1,8,"SK",8,"MB"
"Orange-crowned Warbler","79-8","45-8",1,8,"SK",8,"MB"
"Blue-headed Vireo","79-8","45-8",1.16,8,"SK",8,"MB"
"Pileated Woodpecker","79-8","45-8",0.77,8,"SK",8,"MB"
"Eastern Phoebe","79-8","45-8",1.44,8,"SK",8,"MB"
"Rusty Blackbird","79-8","45-8",1,8,"SK",8,"MB"
"Northern Flicker","79-8","45-8",1,8,"SK",8,"MB"
"Song Sparrow","79-8","45-8",1,8,"SK",8,"MB"
"Red-tailed Hawk","79-8","45-8",1,8,"SK",8,"MB"
"Yellow Warbler","79-8","45-8",0.99,8,"SK",8,"MB"
"Winter Wren","79-8","45-8",0.17,8,"SK",8,"MB"
"Northern Goshawk","79-8","45-8",1,8,"SK",8,"MB"
"Vesper Sparrow","79-8","45-8",0.01,8,"SK",8,"MB"
"Swainson's Thrush","79-8","45-8",0.99,8,"SK",8,"MB"
"Common Nighthawk","79-8","45-8",1,8,"SK",8,"MB"
"Black-throated Green Warbler","79-8","45-8",1.08,8,"SK",8,"MB"
"Black-capped Chickadee","79-8","45-8",1.44,8,"SK",8,"MB"
"Warbling Vireo","79-8","45-8",0.98,8,"SK",8,"MB"
"Belted Kingfisher","79-8","45-8",1,8,"SK",8,"MB"
"Barn Swallow","79-8","45-8",0.37,8,"SK",8,"MB"
"Philadelphia Vireo","79-8","45-8",1.18,8,"SK",8,"MB"
"Nashville Warbler","79-8","45-8",0.32,8,"SK",8,"MB"
"House Sparrow","79-8","45-8",1.44,8,"SK",8,"MB"
"Hairy Woodpecker","79-8","45-8",1,8,"SK",8,"MB"
"Chipping Sparrow","79-8","45-8",1,8,"SK",8,"MB"
"Horned Lark","79-8","45-8",0.05,8,"SK",8,"MB"
"Red Crossbill","79-8","45-8",1.12,8,"SK",8,"MB"
"Red-breasted Nuthatch","79-8","45-8",1.18,8,"SK",8,"MB"
"Cliff Swallow","79-8","45-8",0.4,8,"SK",8,"MB"
"Cape May Warbler","79-8","45-8",1.44,8,"SK",8,"MB"
"Ovenbird","79-8","45-8",0.51,8,"SK",8,"MB"
"Warbling Vireo","81-19","54-19",1,19,"SD",19,"NE"
"Ring-necked Pheasant","81-19","54-19",1,19,"SD",19,"NE"
"Say's Phoebe","81-19","54-19",1.24,19,"SD",19,"NE"
"Horned Lark","81-19","54-19",1,19,"SD",19,"NE"
"Ovenbird","81-18","54-18",2,18,"SD",18,"NE"
"Red-tailed Hawk","81-19","54-19",1,19,"SD",19,"NE"
"Rock Pigeon","81-18","54-18",1,18,"SD",18,"NE"
"Gray Catbird","81-18","54-18",1,18,"SD",18,"NE"
"Baltimore Oriole","81-18","54-18",1.26,18,"SD",18,"NE"
"Red-tailed Hawk","81-18","54-18",1,18,"SD",18,"NE"
"Eastern Bluebird","81-18","54-18",2,18,"SD",18,"NE"
"Song Sparrow","81-18","54-18",1.29,18,"SD",18,"NE"
"Northern Rough-winged Swallow","81-19","54-19",1,19,"SD",19,"NE"
"Brown-headed Cowbird","81-19","54-19",1,19,"SD",19,"NE"
"Brown Thrasher","81-18","54-18",1,18,"SD",18,"NE"
"House Sparrow","81-19","54-19",1,19,"SD",19,"NE"
"Vesper Sparrow","81-19","54-19",1.5,19,"SD",19,"NE"
"Chestnut-collared Longspur","81-18","54-18",1,18,"SD",18,"NE"
"Spotted Towhee","81-18","54-18",2,18,"SD",18,"NE"
"Indigo Bunting","81-18","54-18",2,18,"SD",18,"NE"
"Red-eyed Vireo","81-19","54-19",1,19,"SD",19,"NE"
"Turkey Vulture","81-18","54-18",1,18,"SD",18,"NE"
"Brewer's Sparrow","81-18","54-18",0.43,18,"SD",18,"NE"
"Eastern Meadowlark","81-19","54-19",0.29,19,"SD",19,"NE"
"Indigo Bunting","81-19","54-19",1.07,19,"SD",19,"NE"
"Western Meadowlark","81-19","54-19",1,19,"SD",19,"NE"
"American Redstart","81-19","54-19",2,19,"SD",19,"NE"
"Willow Flycatcher","81-19","54-19",1,19,"SD",19,"NE"
"Common Nighthawk","81-19","54-19",1,19,"SD",19,"NE"
"Barn Owl","81-18","54-18",1,18,"SD",18,"NE"
"Short-eared Owl","81-18","54-18",1.02,18,"SD",18,"NE"
"Belted Kingfisher","81-18","54-18",1,18,"SD",18,"NE"
"Marsh Wren","81-19","54-19",0.84,19,"SD",19,"NE"
"Loggerhead Shrike","81-19","54-19",1,19,"SD",19,"NE"
"Western Kingbird","81-18","54-18",1,18,"SD",18,"NE"
"Belted Kingfisher","81-19","54-19",1,19,"SD",19,"NE"
"American Kestrel","81-18","54-18",1,18,"SD",18,"NE"
"American Kestrel","81-19","54-19",1,19,"SD",19,"NE"
"Golden Eagle","81-19","54-19",2,19,"SD",19,"NE"
"Yellow-breasted Chat","81-18","54-18",1,18,"SD",18,"NE"
"Lark Sparrow","81-19","54-19",1,19,"SD",19,"NE"
"Black-billed Cuckoo","81-19","54-19",1,19,"SD",19,"NE"
"Cliff Swallow","81-18","54-18",1,18,"SD",18,"NE"
"Great Horned Owl","81-19","54-19",1,19,"SD",19,"NE"
"Black-capped Chickadee","81-19","54-19",1,19,"SD",19,"NE"
"Vesper Sparrow","81-18","54-18",1.22,18,"SD",18,"NE"
"Greater Prairie-Chicken","81-19","54-19",0.09,19,"SD",19,"NE"
"American Goldfinch","81-18","54-18",1,18,"SD",18,"NE"
"Barn Swallow","81-19","54-19",1,19,"SD",19,"NE"
"Common Grackle","81-18","54-18",1,18,"SD",18,"NE"
"Grasshopper Sparrow","81-18","54-18",1,18,"SD",18,"NE"
"Field Sparrow","81-19","54-19",1,19,"SD",19,"NE"
"Hairy Woodpecker","81-18","54-18",1,18,"SD",18,"NE"
"Cassin's Kingbird","81-18","54-18",2,18,"SD",18,"NE"
"Northern Rough-winged Swallow","81-18","54-18",1,18,"SD",18,"NE"
"Canyon Wren","81-19","54-19",1,19,"SD",19,"NE"
"Eastern Kingbird","81-18","54-18",1,18,"SD",18,"NE"
"Blue Grosbeak","81-19","54-19",1,19,"SD",19,"NE"
"American Robin","81-18","54-18",1,18,"SD",18,"NE"
"Rock Pigeon","81-19","54-19",1,19,"SD",19,"NE"
"Yellow-headed Blackbird","81-19","54-19",1,19,"SD",19,"NE"
"Spotted Towhee","81-19","54-19",2,19,"SD",19,"NE"
"Field Sparrow","81-18","54-18",1.06,18,"SD",18,"NE"
"Ring-necked Pheasant","81-18","54-18",1,18,"SD",18,"NE"
"Cliff Swallow","81-19","54-19",1,19,"SD",19,"NE"
"Great Crested Flycatcher","81-19","54-19",1.14,19,"SD",19,"NE"
"Say's Phoebe","81-18","54-18",1,18,"SD",18,"NE"
"Western Kingbird","81-19","54-19",1.15,19,"SD",19,"NE"
"American Redstart","81-18","54-18",2,18,"SD",18,"NE"
"Mountain Bluebird","81-18","54-18",2,18,"SD",18,"NE"
"Wild Turkey","81-19","54-19",2,19,"SD",19,"NE"
"Northern Harrier","81-18","54-18",1,18,"SD",18,"NE"
"Downy Woodpecker","81-18","54-18",1,18,"SD",18,"NE"
"Lark Sparrow","81-18","54-18",1,18,"SD",18,"NE"
"Song Sparrow","81-19","54-19",1.79,19,"SD",19,"NE"
"Short-eared Owl","81-19","54-19",1,19,"SD",19,"NE"
"Bobolink","81-18","54-18",2,18,"SD",18,"NE"
"Orchard Oriole","81-19","54-19",1,19,"SD",19,"NE"
"Bank Swallow","81-19","54-19",1.08,19,"SD",19,"NE"
"Horned Lark","81-18","54-18",1,18,"SD",18,"NE"
"Prairie Falcon","81-18","54-18",1.21,18,"SD",18,"NE"
"Prairie Falcon","81-19","54-19",1,19,"SD",19,"NE"
"Black-headed Grosbeak","81-18","54-18",1,18,"SD",18,"NE"
"European Starling","81-18","54-18",1,18,"SD",18,"NE"
"Burrowing Owl","81-19","54-19",1.05,19,"SD",19,"NE"
"Yellow Warbler","81-18","54-18",1,18,"SD",18,"NE"
"Cassin's Kingbird","81-19","54-19",2,19,"SD",19,"NE"
"Northern Flicker","81-19","54-19",1,19,"SD",19,"NE"
"Red-winged Blackbird","81-18","54-18",1,18,"SD",18,"NE"
"Blue Grosbeak","81-18","54-18",1.04,18,"SD",18,"NE"
"Willow Flycatcher","81-18","54-18",1,18,"SD",18,"NE"
"Common Yellowthroat","81-19","54-19",1,19,"SD",19,"NE"
"Barn Owl","81-19","54-19",1,19,"SD",19,"NE"
"Eastern Phoebe","81-19","54-19",1.12,19,"SD",19,"NE"
"Sharp-tailed Grouse","81-19","54-19",0.11,19,"SD",19,"NE"
"Eastern Bluebird","81-19","54-19",0.05,19,"SD",19,"NE"
"Cedar Waxwing","81-18","54-18",2,18,"SD",18,"NE"
"Golden Eagle","81-18","54-18",1,18,"SD",18,"NE"
"Black-billed Cuckoo","81-18","54-18",1,18,"SD",18,"NE"
"Swainson's Hawk","81-18","54-18",1,18,"SD",18,"NE"
"Grasshopper Sparrow","81-19","54-19",1,19,"SD",19,"NE"
"Yellow Warbler","81-19","54-19",1,19,"SD",19,"NE"
"Downy Woodpecker","81-19","54-19",1,19,"SD",19,"NE"
"Common Poorwill","81-18","54-18",1,18,"SD",18,"NE"
"Gray Catbird","81-19","54-19",1,19,"SD",19,"NE"
"Cooper's Hawk","81-18","54-18",1,18,"SD",18,"NE"
"Orchard Oriole","81-18","54-18",1,18,"SD",18,"NE"
"Bank Swallow","81-18","54-18",1.02,18,"SD",18,"NE"
"Ovenbird","81-19","54-19",2,19,"SD",19,"NE"
"Yellow-breasted Chat","81-19","54-19",1.13,19,"SD",19,"NE"
"Common Grackle","81-19","54-19",1,19,"SD",19,"NE"
"Swainson's Hawk","81-19","54-19",1,19,"SD",19,"NE"
"Red-eyed Vireo","81-18","54-18",1,18,"SD",18,"NE"
"Savannah Sparrow","81-18","54-18",2,18,"SD",18,"NE"
"Yellow-billed Cuckoo","81-18","54-18",1.12,18,"SD",18,"NE"
"Lark Bunting","81-18","54-18",1,18,"SD",18,"NE"
"American Crow","81-19","54-19",1,19,"SD",19,"NE"
"Canyon Wren","81-18","54-18",2,18,"SD",18,"NE"
"Yellow-billed Cuckoo","81-19","54-19",1,19,"SD",19,"NE"
"Mourning Dove","81-19","54-19",1,19,"SD",19,"NE"
"Northern Mockingbird","81-19","54-19",1,19,"SD",19,"NE"
"Eastern Screech-Owl","81-19","54-19",1,19,"SD",19,"NE"
"Black-capped Chickadee","81-18","54-18",1,18,"SD",18,"NE"
"Northern Bobwhite","81-19","54-19",0.37,19,"SD",19,"NE"
"Great Horned Owl","81-18","54-18",1,18,"SD",18,"NE"
"Turkey Vulture","81-19","54-19",1,19,"SD",19,"NE"
"Savannah Sparrow","81-19","54-19",2,19,"SD",19,"NE"
"House Wren","81-19","54-19",1,19,"SD",19,"NE"
"Northern Harrier","81-19","54-19",1,19,"SD",19,"NE"
"Blue Jay","81-18","54-18",1,18,"SD",18,"NE"
"Mourning Dove","81-18","54-18",1,18,"SD",18,"NE"
"Chipping Sparrow","81-18","54-18",1.24,18,"SD",18,"NE"
"Red-headed Woodpecker","81-18","54-18",1,18,"SD",18,"NE"
"American Crow","81-18","54-18",1,18,"SD",18,"NE"
"Wild Turkey","81-18","54-18",0.86,18,"SD",18,"NE"
"American Robin","81-19","54-19",1,19,"SD",19,"NE"
"Common Nighthawk","81-18","54-18",1,18,"SD",18,"NE"
"Bell's Vireo","81-18","54-18",2,18,"SD",18,"NE"
"Bell's Vireo","81-19","54-19",1.11,19,"SD",19,"NE"
"Barn Swallow","81-18","54-18",1,18,"SD",18,"NE"
"Rock Wren","81-19","54-19",0.31,19,"SD",19,"NE"
"Western Meadowlark","81-18","54-18",1,18,"SD",18,"NE"
"Black-billed Magpie","81-19","54-19",1.47,19,"SD",19,"NE"
"Lazuli Bunting","81-18","54-18",1.18,18,"SD",18,"NE"
"Warbling Vireo","81-18","54-18",1,18,"SD",18,"NE"
"Yellow-headed Blackbird","81-18","54-18",1,18,"SD",18,"NE"
"Sharp-tailed Grouse","81-18","54-18",0.31,18,"SD",18,"NE"
"Baltimore Oriole","81-19","54-19",1,19,"SD",19,"NE"
"Eastern Phoebe","81-18","54-18",2,18,"SD",18,"NE"
"Lazuli Bunting","81-19","54-19",2,19,"SD",19,"NE"
"Northern Flicker","81-18","54-18",1,18,"SD",18,"NE"
"White-breasted Nuthatch","81-19","54-19",2,19,"SD",19,"NE"
"Eastern Kingbird","81-19","54-19",1,19,"SD",19,"NE"
"Long-eared Owl","81-19","54-19",2,19,"SD",19,"NE"
"Long-eared Owl","81-18","54-18",1.43,18,"SD",18,"NE"
"Hairy Woodpecker","81-19","54-19",1,19,"SD",19,"NE"
"House Sparrow","81-18","54-18",1,18,"SD",18,"NE"
"American Goldfinch","81-19","54-19",1,19,"SD",19,"NE"
"Red-headed Woodpecker","81-19","54-19",1,19,"SD",19,"NE"
"White-breasted Nuthatch","81-18","54-18",1.77,18,"SD",18,"NE"
"Marsh Wren","81-18","54-18",0.07,18,"SD",18,"NE"
"House Wren","81-18","54-18",1,18,"SD",18,"NE"
"Pinyon Jay","81-18","54-18",2,18,"SD",18,"NE"
"Cooper's Hawk","81-19","54-19",1,19,"SD",19,"NE"
"Brown-headed Cowbird","81-18","54-18",1,18,"SD",18,"NE"
"Loggerhead Shrike","81-18","54-18",1,18,"SD",18,"NE"
"Western Tanager","81-18","54-18",1,18,"SD",18,"NE"
"Lewis's Woodpecker","81-18","54-18",0.76,18,"SD",18,"NE"
"Red-winged Blackbird","81-19","54-19",1,19,"SD",19,"NE"
"Ferruginous Hawk","81-18","54-18",1.04,18,"SD",18,"NE"
"Black-billed Magpie","81-18","54-18",1,18,"SD",18,"NE"
"Brown Thrasher","81-19","54-19",1,19,"SD",19,"NE"
"Lark Bunting","81-19","54-19",1.16,19,"SD",19,"NE"
"Dickcissel","81-19","54-19",1,19,"SD",19,"NE"
"Dickcissel","81-18","54-18",1,18,"SD",18,"NE"
"Northern Mockingbird","81-18","54-18",1,18,"SD",18,"NE"
"Eastern Screech-Owl","81-18","54-18",1,18,"SD",18,"NE"
"Common Poorwill","81-19","54-19",1.23,19,"SD",19,"NE"
"Chipping Sparrow","81-19","54-19",1.07,19,"SD",19,"NE"
"European Starling","81-19","54-19",1,19,"SD",19,"NE"
"Ferruginous Hawk","81-19","54-19",2,19,"SD",19,"NE"
"Blue Jay","81-19","54-19",1,19,"SD",19,"NE"
"Eastern Meadowlark","81-18","54-18",1.18,18,"SD",18,"NE"
"Burrowing Owl","81-18","54-18",1,18,"SD",18,"NE"
"Gray Partridge","81-19","54-19",0.24,19,"SD",19,"NE"
"Common Yellowthroat","81-18","54-18",1,18,"SD",18,"NE"
"Great Crested Flycatcher","81-18","54-18",2,18,"SD",18,"NE"
"Black-headed Grosbeak","81-19","54-19",1.07,19,"SD",19,"NE"
"Bobolink","81-19","54-19",1.31,19,"SD",19,"NE"
"Rock Wren","81-18","54-18",0.91,18,"SD",18,"NE"
"Northern Cardinal","81-19","54-19",0.64,19,"SD",19,"NE"
"Blue-gray Gnatcatcher","87-30","58-30",1,30,"VT",30,"NH"
"Song Sparrow","87-30","58-30",1,30,"VT",30,"NH"
"Black-throated Green Warbler","87-30","58-30",1,30,"VT",30,"NH"
"Canada Warbler","87-30","58-30",1.05,30,"VT",30,"NH"
"Pileated Woodpecker","87-30","58-30",1,30,"VT",30,"NH"
"Ovenbird","87-30","58-30",1,30,"VT",30,"NH"
"Bobolink","87-30","58-30",1,30,"VT",30,"NH"
"Blackburnian Warbler","87-30","58-30",1,30,"VT",30,"NH"
"Indigo Bunting","87-30","58-30",1,30,"VT",30,"NH"
"Northern Mockingbird","87-30","58-30",1,30,"VT",30,"NH"
"European Starling","87-30","58-30",1,30,"VT",30,"NH"
"Eastern Bluebird","87-30","58-30",1,30,"VT",30,"NH"
"House Wren","87-30","58-30",1,30,"VT",30,"NH"
"Downy Woodpecker","87-30","58-30",1,30,"VT",30,"NH"
"Bank Swallow","87-30","58-30",1,30,"VT",30,"NH"
"Pine Warbler","87-30","58-30",1,30,"VT",30,"NH"
"Tufted Titmouse","87-30","58-30",1.62,30,"VT",30,"NH"
"Warbling Vireo","87-30","58-30",1,30,"VT",30,"NH"
"Common Grackle","87-30","58-30",1,30,"VT",30,"NH"
"Northern Harrier","87-30","58-30",1,30,"VT",30,"NH"
"Red-tailed Hawk","87-30","58-30",1,30,"VT",30,"NH"
"Belted Kingfisher","87-30","58-30",1,30,"VT",30,"NH"
"Blue-winged Warbler","87-30","58-30",1,30,"VT",30,"NH"
"Brown Thrasher","87-30","58-30",1,30,"VT",30,"NH"
"Red-winged Blackbird","87-30","58-30",1,30,"VT",30,"NH"
"Evening Grosbeak","87-30","58-30",2,30,"VT",30,"NH"
"Common Nighthawk","87-30","58-30",1,30,"VT",30,"NH"
"Golden-crowned Kinglet","87-30","58-30",1,30,"VT",30,"NH"
"Vesper Sparrow","87-30","58-30",1,30,"VT",30,"NH"
"American Crow","87-30","58-30",1,30,"VT",30,"NH"
"Prairie Warbler","87-30","58-30",1.82,30,"VT",30,"NH"
"Wild Turkey","87-30","58-30",1,30,"VT",30,"NH"
"Hermit Thrush","87-30","58-30",1,30,"VT",30,"NH"
"House Finch","87-30","58-30",1,30,"VT",30,"NH"
"Cliff Swallow","87-30","58-30",1,30,"VT",30,"NH"
"Yellow-bellied Flycatcher","87-30","58-30",1,30,"VT",30,"NH"
"Sharp-shinned Hawk","87-30","58-30",1,30,"VT",30,"NH"
"Great Horned Owl","87-30","58-30",1,30,"VT",30,"NH"
"Blue-headed Vireo","87-30","58-30",1,30,"VT",30,"NH"
"Hairy Woodpecker","87-30","58-30",1,30,"VT",30,"NH"
"Alder Flycatcher","87-30","58-30",1,30,"VT",30,"NH"
"White-throated Sparrow","87-30","58-30",1,30,"VT",30,"NH"
"Common Yellowthroat","87-30","58-30",1,30,"VT",30,"NH"
"Dark-eyed Junco","87-30","58-30",1.15,30,"VT",30,"NH"
"Yellow-bellied Sapsucker","87-30","58-30",2,30,"VT",30,"NH"
"Yellow-throated Vireo","87-30","58-30",1,30,"VT",30,"NH"
"Northern Flicker","87-30","58-30",1,30,"VT",30,"NH"
"Red-shouldered Hawk","87-30","58-30",1,30,"VT",30,"NH"
"Horned Lark","87-30","58-30",2,30,"VT",30,"NH"
"Golden-winged Warbler","87-30","58-30",2,30,"VT",30,"NH"
"Cooper's Hawk","87-30","58-30",1,30,"VT",30,"NH"
"Chestnut-sided Warbler","87-30","58-30",1,30,"VT",30,"NH"
"Red-eyed Vireo","87-30","58-30",1,30,"VT",30,"NH"
"Grasshopper Sparrow","87-30","58-30",1,30,"VT",30,"NH"
"Red-breasted Nuthatch","87-30","58-30",1,30,"VT",30,"NH"
"Eastern Screech-Owl","87-30","58-30",1.02,30,"VT",30,"NH"
"American Goldfinch","87-30","58-30",1,30,"VT",30,"NH"
"Northern Cardinal","87-30","58-30",1,30,"VT",30,"NH"
"Magnolia Warbler","87-30","58-30",1,30,"VT",30,"NH"
"Barred Owl","87-30","58-30",1,30,"VT",30,"NH"
"Great Crested Flycatcher","87-30","58-30",1,30,"VT",30,"NH"
"Eastern Phoebe","87-30","58-30",1,30,"VT",30,"NH"
"Chimney Swift","87-30","58-30",1,30,"VT",30,"NH"
"Field Sparrow","87-30","58-30",1,30,"VT",30,"NH"
"Willow Flycatcher","87-30","58-30",1,30,"VT",30,"NH"
"Black-billed Cuckoo","87-30","58-30",1,30,"VT",30,"NH"
"Swamp Sparrow","87-30","58-30",1,30,"VT",30,"NH"
"Wood Thrush","87-30","58-30",1,30,"VT",30,"NH"
"Louisiana Waterthrush","87-30","58-30",1,30,"VT",30,"NH"
"Broad-winged Hawk","87-30","58-30",1,30,"VT",30,"NH"
"Rose-breasted Grosbeak","87-30","58-30",1,30,"VT",30,"NH"
"Chipping Sparrow","87-30","58-30",1,30,"VT",30,"NH"
"Northern Parula","87-30","58-30",2,30,"VT",30,"NH"
"Savannah Sparrow","87-30","58-30",1,30,"VT",30,"NH"
"Eastern Kingbird","87-30","58-30",1,30,"VT",30,"NH"
"Veery","87-30","58-30",1,30,"VT",30,"NH"
"Tree Swallow","87-30","58-30",1,30,"VT",30,"NH"
"Black-throated Blue Warbler","87-30","58-30",2,30,"VT",30,"NH"
"Eastern Towhee","87-30","58-30",1,30,"VT",30,"NH"
"Ruby-throated Hummingbird","87-30","58-30",1,30,"VT",30,"NH"
"Northern Goshawk","87-30","58-30",1.14,30,"VT",30,"NH"
"Baltimore Oriole","87-30","58-30",1,30,"VT",30,"NH"
"Yellow Warbler","87-30","58-30",1,30,"VT",30,"NH"
"Olive-sided Flycatcher","87-30","58-30",1,30,"VT",30,"NH"
"Marsh Wren","87-30","58-30",1,30,"VT",30,"NH"
"Rock Pigeon","87-30","58-30",1,30,"VT",30,"NH"
"Eastern Meadowlark","87-30","58-30",1,30,"VT",30,"NH"
"Black-and-white Warbler","87-30","58-30",1,30,"VT",30,"NH"
"Black-capped Chickadee","87-30","58-30",1,30,"VT",30,"NH"
"Eastern Whip-poor-will","87-30","58-30",1,30,"VT",30,"NH"
"Least Flycatcher","87-30","58-30",1,30,"VT",30,"NH"
"American Kestrel","87-30","58-30",1,30,"VT",30,"NH"
"Barn Swallow","87-30","58-30",1,30,"VT",30,"NH"
"House Sparrow","87-30","58-30",1,30,"VT",30,"NH"
"Northern Waterthrush","87-30","58-30",1,30,"VT",30,"NH"
"Gray Catbird","87-30","58-30",1,30,"VT",30,"NH"
"Northern Rough-winged Swallow","87-30","58-30",1,30,"VT",30,"NH"
"Yellow-billed Cuckoo","87-30","58-30",1,30,"VT",30,"NH"
"Ruffed Grouse","87-30","58-30",1,30,"VT",30,"NH"
"Turkey Vulture","87-30","58-30",1.33,30,"VT",30,"NH"
"White-breasted Nuthatch","87-30","58-30",1,30,"VT",30,"NH"
"Eastern Wood-Pewee","87-30","58-30",1,30,"VT",30,"NH"
"Scarlet Tanager","87-30","58-30",1,30,"VT",30,"NH"
"Northern Saw-whet Owl","87-30","58-30",1,30,"VT",30,"NH"
"Nashville Warbler","87-30","58-30",1,30,"VT",30,"NH"
"Mourning Dove","87-30","58-30",1,30,"VT",30,"NH"
"Purple Finch","87-30","58-30",1,30,"VT",30,"NH"
"Winter Wren","87-30","58-30",1.47,30,"VT",30,"NH"
"Brown Creeper","87-30","58-30",1,30,"VT",30,"NH"
"Brown-headed Cowbird","87-30","58-30",1,30,"VT",30,"NH"
"American Redstart","87-30","58-30",1,30,"VT",30,"NH"
"American Robin","87-30","58-30",1,30,"VT",30,"NH"
"Ring-necked Pheasant","87-30","58-30",1,30,"VT",30,"NH"
"Yellow-rumped Warbler","87-30","58-30",2,30,"VT",30,"NH"
"Blue Jay","87-30","58-30",1,30,"VT",30,"NH"
"Cedar Waxwing","87-30","58-30",1,30,"VT",30,"NH"
"Red-winged Blackbird","72-30","59-30",1,30,"PA",30,"NJ"
"Eastern Meadowlark","72-30","59-30",1,30,"PA",30,"NJ"
"Blue-winged Warbler","72-30","59-30",1,30,"PA",30,"NJ"
"Red-headed Woodpecker","61-29","59-29",0.98,29,"NY",29,"NJ"
"Hermit Thrush","61-29","59-29",1.65,29,"NY",29,"NJ"
"Veery","72-30","59-30",1.73,30,"PA",30,"NJ"
"American Redstart","61-29","59-29",1,29,"NY",29,"NJ"
"Marsh Wren","72-30","59-30",1,30,"PA",30,"NJ"
"Kentucky Warbler","72-30","59-30",1.04,30,"PA",30,"NJ"
"Red-tailed Hawk","72-30","59-30",1,30,"PA",30,"NJ"
"Carolina Chickadee","72-30","59-30",1.07,30,"PA",30,"NJ"
"Common Yellowthroat","72-30","59-30",1,30,"PA",30,"NJ"
"Fish Crow","72-30","59-30",1,30,"PA",30,"NJ"
"Prairie Warbler","72-30","59-30",1,30,"PA",30,"NJ"
"House Wren","72-30","59-30",1,30,"PA",30,"NJ"
"House Finch","61-29","59-29",1,29,"NY",29,"NJ"
"Black-and-white Warbler","61-29","59-29",1,29,"NY",29,"NJ"
"Eastern Bluebird","72-30","59-30",1.01,30,"PA",30,"NJ"
"Broad-winged Hawk","72-30","59-30",1,30,"PA",30,"NJ"
"Common Nighthawk","72-30","59-30",1,30,"PA",30,"NJ"
"Horned Lark","72-30","59-30",1,30,"PA",30,"NJ"
"Sharp-shinned Hawk","61-29","59-29",1,29,"NY",29,"NJ"
"Cedar Waxwing","61-29","59-29",1,29,"NY",29,"NJ"
"Belted Kingfisher","61-29","59-29",1,29,"NY",29,"NJ"
"House Wren","61-29","59-29",1,29,"NY",29,"NJ"
"Hooded Warbler","61-29","59-29",1,29,"NY",29,"NJ"
"Saltmarsh Sparrow","72-30","59-30",0.64,30,"PA",30,"NJ"
"Warbling Vireo","61-29","59-29",1,29,"NY",29,"NJ"
"Osprey","72-30","59-30",1,30,"PA",30,"NJ"
"Worm-eating Warbler","61-29","59-29",0.03,29,"NY",29,"NJ"
"Marsh Wren","61-29","59-29",1,29,"NY",29,"NJ"
"Gray Catbird","61-29","59-29",1,29,"NY",29,"NJ"
"Warbling Vireo","72-30","59-30",1,30,"PA",30,"NJ"
"Ovenbird","72-30","59-30",1,30,"PA",30,"NJ"
"Saltmarsh Sparrow","61-29","59-29",0.2,29,"NY",29,"NJ"
"Northern Saw-whet Owl","72-30","59-30",0.68,30,"PA",30,"NJ"
"Red-shouldered Hawk","61-29","59-29",1,29,"NY",29,"NJ"
"House Sparrow","61-29","59-29",1,29,"NY",29,"NJ"
"Blue-gray Gnatcatcher","61-29","59-29",1,29,"NY",29,"NJ"
"Yellow-billed Cuckoo","72-30","59-30",1.01,30,"PA",30,"NJ"
"Golden-winged Warbler","72-30","59-30",0.74,30,"PA",30,"NJ"
"White-breasted Nuthatch","61-29","59-29",1,29,"NY",29,"NJ"
"Common Grackle","72-30","59-30",1,30,"PA",30,"NJ"
"Yellow Warbler","61-29","59-29",1,29,"NY",29,"NJ"
"Blue Jay","61-29","59-29",1,29,"NY",29,"NJ"
"Eastern Whip-poor-will","72-30","59-30",0.14,30,"PA",30,"NJ"
"Eastern Meadowlark","61-29","59-29",1,29,"NY",29,"NJ"
"Northern Bobwhite","72-30","59-30",1,30,"PA",30,"NJ"
"Common Yellowthroat","61-29","59-29",1,29,"NY",29,"NJ"
"Eastern Whip-poor-will","61-29","59-29",2,29,"NY",29,"NJ"
"Field Sparrow","61-29","59-29",1,29,"NY",29,"NJ"
"Black-billed Cuckoo","61-29","59-29",1,29,"NY",29,"NJ"
"Willow Flycatcher","61-29","59-29",1,29,"NY",29,"NJ"
"Baltimore Oriole","61-29","59-29",1,29,"NY",29,"NJ"
"Northern Cardinal","61-29","59-29",1,29,"NY",29,"NJ"
"Hairy Woodpecker","61-29","59-29",1,29,"NY",29,"NJ"
"American Redstart","72-30","59-30",1,30,"PA",30,"NJ"
"Broad-winged Hawk","61-29","59-29",1,29,"NY",29,"NJ"
"Turkey Vulture","72-30","59-30",1,30,"PA",30,"NJ"
"Eastern Towhee","72-30","59-30",1,30,"PA",30,"NJ"
"Barn Owl","61-29","59-29",1,29,"NY",29,"NJ"
"Grasshopper Sparrow","61-29","59-29",1,29,"NY",29,"NJ"
"Yellow-breasted Chat","72-30","59-30",1,30,"PA",30,"NJ"
"Scarlet Tanager","72-30","59-30",1,30,"PA",30,"NJ"
"Brown-headed Cowbird","61-29","59-29",1,29,"NY",29,"NJ"
"Wood Thrush","72-30","59-30",1,30,"PA",30,"NJ"
"Seaside Sparrow","61-29","59-29",2,29,"NY",29,"NJ"
"American Robin","72-30","59-30",1,30,"PA",30,"NJ"
"Ring-necked Pheasant","72-30","59-30",1,30,"PA",30,"NJ"
